"","origin_icao","linetype_code","n.x","n.y","total","totalArpts","flight_type"
"79","SAEZ","I",12988,13208,26196,27051,"I"
"80","SAEZ","G",235,584,819,27051,"C"
"81","SAEZ","H",15,21,36,27051,"D"
"106","SBBE","N",17083,16171,33254,48639,"D"
"107","SBBE","R",4538,4362,8900,48639,"D"
"108","SBBE","C",147,135,282,48639,"C"
"109","SBBE","G",34,23,57,48639,"C"
"110","SBBE","I",1064,1061,2125,48639,"I"
"111","SBBE","L",155,127,282,48639,"C"
"112","SBBE","E",1811,1928,3739,48639,"D"
"114","SBBH","C",11,13,24,37741,"C"
"115","SBBH","N",2054,2037,4091,37741,"D"
"117","SBBH","R",8165,8048,16213,37741,"D"
"118","SBBH","E",8538,8490,17028,37741,"D"
"119","SBBH","L",178,184,362,37741,"C"
"120","SBBR","N",76354,75864,152218,212208,"D"
"121","SBBR","H",64,58,122,212208,"D"
"122","SBBR","C",312,258,570,212208,"C"
"123","SBBR","L",618,655,1273,212208,"C"
"124","SBBR","R",7207,7159,14366,212208,"D"
"125","SBBR","I",2237,2193,4430,212208,"I"
"126","SBBR","G",7,9,16,212208,"C"
"127","SBBR","E",19465,19748,39213,212208,"D"
"146","SBCF","R",6381,5880,12261,101795,"D"
"147","SBCF","N",40515,41040,81555,101795,"D"
"148","SBCF","H",12,5,17,101795,"D"
"149","SBCF","C",223,243,466,101795,"C"
"150","SBCF","I",2520,2365,4885,101795,"I"
"151","SBCF","L",287,290,577,101795,"C"
"152","SBCF","G",10,30,40,101795,"C"
"153","SBCF","E",901,1093,1994,101795,"D"
"154","SBCG","N",8862,9208,18070,23463,"D"
"155","SBCG","R",2043,1966,4009,23463,"D"
"156","SBCG","L",262,137,399,23463,"C"
"157","SBCG","C",20,8,28,23463,"C"
"158","SBCG","I",323,296,619,23463,"I"
"159","SBCG","E",111,227,338,23463,"D"
"174","SBCT","E",2458,2023,4481,105609,"D"
"175","SBCT","N",40857,42026,82883,105609,"D"
"176","SBCT","C",206,208,414,105609,"C"
"177","SBCT","G",258,243,501,105609,"C"
"178","SBCT","R",6564,6489,13053,105609,"D"
"179","SBCT","L",553,660,1213,105609,"C"
"180","SBCT","I",1527,1537,3064,105609,"I"
"184","SBCY","C",29,24,53,35809,"C"
"185","SBCY","L",262,285,547,35809,"C"
"186","SBCY","R",6120,5885,12005,35809,"D"
"187","SBCY","I",7,6,13,35809,"I"
"188","SBCY","N",11154,11721,22875,35809,"D"
"189","SBCY","E",159,157,316,35809,"D"
"201","SBEG","I",1605,1652,3257,41268,"I"
"202","SBEG","G",325,405,730,41268,"C"
"203","SBEG","N",13078,13516,26594,41268,"D"
"204","SBEG","C",630,680,1310,41268,"C"
"205","SBEG","E",386,313,699,41268,"D"
"206","SBEG","R",4084,4450,8534,41268,"D"
"207","SBEG","L",71,62,133,41268,"C"
"208","SBEG","H",5,6,11,41268,"D"
"217","SBFL","L",370,257,627,46783,"C"
"218","SBFL","N",17344,17898,35242,46783,"D"
"219","SBFL","E",214,228,442,46783,"D"
"220","SBFL","C",181,164,345,46783,"C"
"221","SBFL","I",1289,1283,2572,46783,"I"
