"","month","mean","sd","n","punc","hLimit","lLimit","monthAbb"
"1","01",11.293003542199,36.7746369282249,1179211,0.122702383203685,11.3593791795313,11.2266279048667,"Jan"
"2","02",9.12763562472895,36.9092959411123,1026085,0.0954248429710989,9.19905238792351,9.05621886153438,"Feb"
"3","03",9.54926808505851,39.7714686382556,1066654,0.0966414601173389,9.62474530869404,9.47379086142298,"Mar"
"4","04",9.93543446300174,36.6257121461835,1057685,0.100801278263377,10.0052358378044,9.86563308819913,"Apr"
"5","05",9.68132437852559,36.1006501765455,1097511,0.0971461789449035,9.74886524909102,9.61378350796016,"May"
"6","06",12.3340317792911,40.4284571501501,979317,0.123281838260747,12.4141039482247,12.2539596103575,"Jun"
"7","07",13.0047447265673,39.6306525652071,1063918,0.133354262264573,13.0800513571603,12.9294380959742,"Jul"
"8","08",8.45123386875802,32.4518315967619,1120419,0.0873789180654738,8.51132426288176,8.39114347463429,"Aug"
"9","09",8.83826375578078,33.6162807491735,1073167,0.0914265906424628,8.90186594707065,8.77466156449091,"Sep"
"10","10",9.99120167518519,36.3675531840899,1110325,0.105040416094387,10.0588481383372,9.9235552120332,"Oct"
"11","11",11.1932315335155,37.2420098320169,1086184,0.117968042246986,11.2632701375173,11.1231929295137,"Nov"
"12","12",13.9294401848906,39.1033294965918,1166528,0.150722485872607,14.0004015930463,13.8584787767348,"Dec"
