"","airline","vars","n","sd","min","max","range","se","variable","rate","punc"
"1","AAL",3,128228,108.613427239917,0,1439,1439,0.303313739611925,"departure_delay",19.3168730698443,0.888745047883458
"2","ARG",3,93958,57.1735841773937,0,1405,1405,0.186521344297644,"departure_delay",16.0652312735478,0.876987590199877
"3","AZU",3,1205803,36.6900817327865,0,1439,1439,0.0334126175131598,"departure_delay",9.12729691334322,0.913567141564584
"4","BLC",3,67481,19.2228374890953,0,588,588,0.0739991514211583,"departure_delay",6.30604170062684,0.932366147508187
"5","GLO",3,3512756,29.8466567737796,0,1439,1439,0.0159247161226241,"departure_delay",10.3643261871875,0.888317036537693
"6","LAN",3,48971,37.4878224068732,0,1439,1439,0.169402855872429,"departure_delay",8.22601131281779,0.92356700904617
"7","NES",3,122988,37.8672695190094,0,1427,1427,0.107977339164876,"departure_delay",13.2627329495561,0.849448726705044
"8","NHG",3,46298,30.8550726771245,0,532,532,0.143398780636138,"departure_delay",11.3006177372673,0.889174478379196
"9","ONE",3,674803,36.0964306308338,0,1436,1436,0.0439415889114781,"departure_delay",11.354427884879,0.88907281087962
"10","PTB",3,236912,40.122581111242,0,1429,1429,0.0824319045575749,"departure_delay",15.2548414601202,0.850117343148511
"11","PTN",3,129303,40.4595704569474,0,1111,1111,0.112516695041734,"departure_delay",13.3403865339551,0.868556800692946
"12","RLE",3,68042,42.038309537037,0,1437,1437,0.161159795771941,"departure_delay",6.43906704682402,0.958613797360454
"13","RSL",3,276575,29.4514451537313,0,971,971,0.0560015631567077,"departure_delay",9.52548856548856,0.886656422308596
"14","SLX",3,46669,24.4559822829069,0,695,695,0.113206369662118,"departure_delay",8.03115558507789,0.933424757333562
"15","TAM",3,4021476,31.4344983260674,0,1439,1439,0.0156752253515295,"departure_delay",9.71685420974784,0.892624747729441
"16","TAP",3,97363,52.2093848430941,0,1435,1435,0.167321443487925,"departure_delay",14.5818945595349,0.837710423877654
"17","TBA",3,69045,31.8649386963096,0,1380,1380,0.121268210887968,"departure_delay",8.51818379317836,0.895097400246216
"18","TIB",3,534369,36.3196695468453,0,1439,1439,0.0496845385447919,"departure_delay",8.76853260574621,0.911772576627761
"19","TTL",3,109513,63.385274561749,0,1438,1438,0.191538259981017,"departure_delay",16.2909700218239,0.852492398162775
"20","UAL",3,54256,106.227622277375,0,1439,1439,0.456051170196418,"departure_delay",18.7549948392804,0.887993954585668
"21","VRG",3,799564,42.847628300118,0,1438,1438,0.0479181642562101,"departure_delay",13.022726135744,0.868918560615535
"22","VRN",3,93765,50.5163874528633,0,1106,1106,0.164972633261542,"departure_delay",19.2436623473578,0.812360688956434
"23","VSP",3,344890,40.0395588059934,0,1379,1379,0.0681787417858928,"departure_delay",13.1193713937777,0.851889008089536
"24","WEB",3,169859,32.5424232278206,0,1105,1105,0.0789597214311119,"departure_delay",11.3203598278572,0.888007111780948
