"","vars","n","mean","sd","median","trimmed","mad","min","max","range","skew","kurtosis","se","year","variable","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"1",1,583260,0.0947673421801598,0.292893564486437,0,0,0,0,1,1,2.76709366256289,5.65681703602451,0.000383511801449349,"2000","depart_delay_bin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",1,607921,0.112473495733821,0.315948370300829,0,0.0155920688740523,0,0,1,1,2.45309615894047,4.01768737391377,0.000405221562308656,"2001","depart_delay_bin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",1,585410,0.113253958763943,0.316903252017455,0,0.0165674484549291,0,0,1,1,2.4407788694666,3.95740824970599,0.000414187156236872,"2002","depart_delay_bin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13",1,446062,0.101488133936538,0.301974331751413,0,0.00186072579515202,0,0,1,1,2.6393698454566,4.96628431473951,0.00045213946410576,"2003","depart_delay_bin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",1,478143,0.105514459063502,0.307215486887495,0,0.00689384730010587,0,0,1,1,2.56813040186495,4.59530337172635,0.000444287611814353,"2004","depart_delay_bin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21",1,496629,0.127211661018587,0.333210260773753,0,0.0340166874315702,0,0,1,1,2.23755167369865,3.00664354658764,0.000472827065559228,"2005","depart_delay_bin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25",1,506746,0.193003990164698,0.394656505464954,0,0.116256123611858,0,0,1,1,1.55576000783417,0.420390031575154,0.00055440112312709,"2006","depart_delay_bin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29",1,530426,0.302950835743346,0.459534574307026,0,0.253689241225238,0,0,1,1,0.857601598580571,-1.26452188207554,0.000630965756937252,"2007","depart_delay_bin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33",1,633834,0.153821032005226,0.360777393238603,0,0.0672769727137187,0,0,1,1,1.91906936696123,1.68282989021738,0.000453159981483802,"2008","depart_delay_bin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37",1,723134,0.0866146523327626,0.281269734839232,0,0,0,0,1,1,2.93941881977102,6.64019218054943,0.000330760479630655,"2009","depart_delay_bin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41",1,815183,0.114098306760568,0.317930821330123,0,0.0176233272559715,0,0,1,1,2.42757980011013,3.89314846170421,0.000352131660671226,"2010","depart_delay_bin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45",1,909744,0.106277150495084,0.308192183845386,0,0.00784697909853859,0,0,1,1,2.55504478931379,4.5282588529121,0.000323118645973939,"2011","depart_delay_bin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49",1,940405,0.0902175126674146,0.286493281518715,0,0,0,0,1,1,2.86067477330876,6.18346673397151,0.00029543162080849,"2012","depart_delay_bin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53",1,875835,0.0776915743262144,0.267685777394047,0,0,0,0,1,1,3.15525126218461,7.95561961099011,0.000286031687801972,"2013","depart_delay_bin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57",1,728038,0.0795823844359772,0.270645763194523,0,0,0,0,1,1,3.10676977267343,7.65202893088317,0.000317193448728728,"2014","depart_delay_bin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61",1,807687,0.0648939502554826,0.246338792331419,0,0,0,0,1,1,3.53257809637117,10.479120981201,0.000274101404936195,"2015","depart_delay_bin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65",1,686314,0.0655982538604779,0.247578699127521,0,0,0,0,1,1,3.5091961846588,10.3144728912259,0.000298849027987234,"2016","depart_delay_bin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69",1,688693,0.0777109684576437,0.267716413222507,0,0,0,0,1,1,3.1547443302762,7.95242333653993,0.000322598366111364,"2017","depart_delay_bin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73",1,507641,0.116261294891468,0.320538310656027,0,0.0203268548408941,0,0,1,1,2.39433438329291,3.73284449234584,0.000449885088072841,"2018","depart_delay_bin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77",1,475898,0.126430453584592,0.332334208395982,0,0.0330400294179448,0,0,1,1,2.24815112016461,3.05418987685127,0.000481745988868273,"2019","depart_delay_bin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"81",1,1,0,NA,0,0,0,0,0,0,NA,NA,NA,"2020","depart_delay_bin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
