"","vars","n","mean","sd","median","trimmed","mad","min","max","range","skew","kurtosis","se","year","variable","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"2",2,583260,0.117100435483318,0.32154020083337,0,0.0213755443541473,0,0,1,1,2.38165496595759,3.67228667301937,0.000421021410546224,"2000","arrival_delay_bin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",2,607921,0.137966939783294,0.344865566486153,0,0.0474588608310698,0,0,1,1,2.09955704409098,2.40814374267764,0.000442309493493887,"2001","arrival_delay_bin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",2,585410,0.136834013768128,0.343672326790226,0,0.0460425172101603,0,0,1,1,2.11343967820702,2.46663148693956,0.000449173881316662,"2002","arrival_delay_bin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14",2,446062,0.114719478458152,0.318683459564319,0,0.0183998879080847,0,0,1,1,2.41794574673551,3.8464702573454,0.000477157670292971,"2003","arrival_delay_bin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18",2,478143,0.120344750419853,0.325364584533806,0,0.025431682417683,0,0,1,1,2.33371715058556,3.44624294650735,0.000470534398171246,"2004","arrival_delay_bin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22",2,496629,0.14996506446462,0.35703753386289,0,0.0624583128830495,0,0,1,1,1.96076993321392,1.84462244529451,0.000506638088031505,"2005","arrival_delay_bin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26",2,506746,0.211362299850418,0.408275160879923,0,0.139203942792021,0,0,1,1,1.41393431790961,-0.000789746184265194,0.000573532184576704,"2006","arrival_delay_bin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30",2,530426,0.327755426770181,0.469395592629686,0,0.284694892327415,0,0,1,1,0.733898022076033,-1.4613964483195,0.000644505466978682,"2007","arrival_delay_bin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34",2,633834,0.181410274614489,0.385358042823233,0,0.101763471565943,0,0,1,1,1.65347125189026,0.733968338816913,0.000484034883623981,"2008","arrival_delay_bin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38",2,723134,0.102512120851737,0.30332080897801,0,0.00314083815608428,0,0,1,1,2.62090379366742,4.86914342905636,0.000356691544921708,"2009","arrival_delay_bin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42",2,815183,0.135953522092585,0.342739414170874,0,0.0449423212864586,0,0,1,1,2.12433129236428,2.51278652220411,0.0003796089935054,"2010","arrival_delay_bin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46",2,909744,0.131021474172954,0.337424024973122,0,0.0387773496968929,0,0,1,1,2.18702933361922,2.78310036532721,0.000353766252953023,"2011","arrival_delay_bin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50",2,940405,0.105204672454953,0.306817127049564,0,0.0065064965274316,0,0,1,1,2.5734867641018,4.62283904080638,0.00031638955250731,"2012","arrival_delay_bin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54",2,875835,0.0807663543932362,0.272476118512761,0,0,0,0,1,1,3.07721035683904,7.46923210836836,0.000291150336124164,"2013","arrival_delay_bin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58",2,728038,0.0828569387861623,0.275666049523695,0,0,0,0,1,1,3.02643353409526,7.15930977000522,0.000323077161503539,"2014","arrival_delay_bin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62",2,807687,0.0668600584137172,0.249779639377868,0,0,0,0,1,1,3.46817223688118,10.028231080665,0.00027793003866731,"2015","arrival_delay_bin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66",2,686314,0.0682049324361735,0.252097426064181,0,0,0,0,1,1,3.4256156054763,9.73485646074941,0.000304303524507006,"2016","arrival_delay_bin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70",2,688693,0.0806411565095042,0.27228343327678,0,0,0,0,1,1,3.08030664608491,7.48829990712574,0.000328101626781011,"2017","arrival_delay_bin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74",2,507641,0.116864083082336,0.321258575721902,0,0.0210803397084063,0,0,1,1,2.38521360134147,3.68925119147737,0.000450896001594953,"2018","arrival_delay_bin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78",2,475898,0.125669786382796,0.331477181804515,0,0.0320891994116412,0,0,1,1,2.25855321324287,3.10106913331045,0.000480503657767946,"2019","arrival_delay_bin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"82",2,1,0,NA,0,0,0,0,0,0,NA,NA,NA,"2020","arrival_delay_bin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
