"","vars","n","mean","sd","median","trimmed","mad","min","max","range","skew","kurtosis","se","year","variable","NA","NA.1","NA.2","NA.3","NA.4","NA.5","NA.6","NA.7","NA.8","NA.9","NA.10","NA.11","NA.12","NA.13","NA.14","hLimit","lLimit"
"3",3,583260,8.75480403250695,32.8472907253515,0,1.84622638274525,0,0,1382,1382,12.9405276093117,310.806006524885,0.0430099024568818,"2000","departure_delay",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.83910344132243,8.67050462369146
"7",3,607921,10.2057750924873,36.2507960253299,0,2.90037155305888,0,0,1439,1439,14.7861654110904,401.694989618054,0.0464936856180963,"2001","departure_delay",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.2969027162988,10.1146474686759
"11",3,585410,10.0990997762252,33.5006028789926,0,2.83986009805094,0,0,1437,1437,12.3240523114413,327.942718903756,0.0437847177343147,"2002","departure_delay",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.1849178229845,10.0132817294659
"15",3,446062,10.8408382691195,39.8303542188168,0,1.90163093736864,0,0,1427,1427,8.27706491266741,117.474448587741,0.0596371052704686,"2003","departure_delay",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.9577269954497,10.7239495427894
"19",3,478143,10.2088182823967,35.8343612456748,0,2.34041540854607,0,0,1417,1417,10.0266213044283,177.026623212077,0.0518227871258455,"2004","departure_delay",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.3103909451633,10.10724561963
"23",3,496629,11.7715256257689,39.325384295243,0,4.02327179371011,0,0,1439,1439,14.4921855672413,383.481580797259,0.0558029216001062,"2005","departure_delay",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.8808993521051,11.6621518994327
"27",3,506746,18.0427650144254,45.5873015071827,0,7.5067760571093,0,0,1437,1437,6.20214254636658,76.0871632873925,0.0640396162382778,"2006","departure_delay",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.1682826622524,17.9172473665983
"31",3,530426,28.2968463084389,62.1160168215009,0,15.6786813466496,0,0,1438,1438,7.94940521487013,122.430483884607,0.0852886415147504,"2007","departure_delay",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.4640120458078,28.12968057107
"35",3,633834,13.2816715417601,36.0110924185497,0,5.37566756332482,0,0,1427,1427,9.21285739695282,201.641197115074,0.0452322852801614,"2008","departure_delay",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.3703268209093,13.193016262611
"39",3,723134,8.08239413442046,31.095983140645,0,1.85020950444938,0,0,1436,1436,18.7023611179837,689.352715836491,0.0365674689602327,"2009","departure_delay",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.15406637358251,8.0107218952584
