"","vars","n","mean","sd","median","trimmed","mad","min","max","range","skew","kurtosis","se","year","variable","NA","NA.1","NA.2","NA.3","NA.4","NA.5","NA.6","NA.7","NA.8","NA.9","NA.10","NA.11","NA.12","NA.13","NA.14","hLimit","lLimit"
"4",4,583260,9.76390974865411,33.8174796170813,0,2.52168201145287,0,-57,1400,1457,11.9791719786037,276.212161176918,0.0442802577487976,"2000","arrival_delay",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.85069905384176,9.67712044346647
"8",4,607921,11.3532827456199,37.2217719120023,0,3.81435506654851,0,-133,1439,1572,13.81549614442,365.665007981256,0.0477390168264415,"2001","arrival_delay",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.4468512185997,11.2597142726401
"12",4,585410,11.1657180437642,34.3438317828372,0,3.68517790949933,0,-87,1436,1523,11.3867518717764,292.623168500766,0.0448868035586688,"2002","arrival_delay",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.2536961787392,11.0777399087892
"16",4,446062,11.5211562518215,40.4131339743712,0,2.44868432114334,0,-81,1419,1500,8.06009673425941,112.681801318647,0.0605096884626882,"2003","arrival_delay",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.6397552412084,11.4025572624346
"20",4,478143,11.0046576024327,36.5479747618541,0,2.99432701985544,0,-70,1428,1498,9.64124221776774,167.035860290305,0.0528547977450818,"2004","arrival_delay",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.1082530060131,10.9010621988524
"24",4,496629,12.9313370745567,40.1027158882971,0,5.04839606851161,0,-130,1439,1569,13.7034442465438,353.955640979154,0.0569059591093856,"2005","arrival_delay",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.0428727544111,12.8198013947023
"28",4,506746,19.0468400342578,46.4291078875189,0,8.38791508591558,0,-135,1438,1573,6.00775678468036,73.4211740201743,0.0652221595290923,"2006","arrival_delay",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.1746754669348,18.9190046015808
"32",4,530426,29.9959447689216,63.2818579328727,0,17.2497914418087,0,-61,1437,1498,7.58109710480954,114.042379248019,0.0868894042438977,"2007","arrival_delay",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.1662480012396,29.8256415366035
"36",4,633834,14.6687145214678,37.2747597673773,0,6.55547184992939,0,-72,1437,1509,8.55417873014905,178.498482336451,0.046819534046654,"2008","arrival_delay",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.7604808081992,14.5769482347363
"40",4,723134,8.96975525974439,31.8614078802945,0,2.49639071542658,0,-60,1433,1493,17.4610844381738,623.295055915457,0.037467573815639,"2009","arrival_delay",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.04319170442304,8.89631881506573
